运行编号,运行时间,触发源,版本一致性门禁,闭环门禁,发布级门禁,双推结果,耗时秒,说明
AL-20260818-001,2026-08-18 09:53:26,manual,通过,通过,通过,跳过(dry-run),0.2,门禁全过
AL-20260818-002,2026-08-18 10:51:50,manual,通过,通过,通过,成功,5.7,门禁全过
AL-20260818-003,2026-08-18 11:44:22,manual,通过,通过,通过,失败,24.4,门禁全过但双推失败(网络/凭据)，见 32 台账
AL-20260818-004,2026-08-18 11:50:10,manual,通过,通过,通过,跳过(dry-run),0.1,门禁全过
AL-20260818-005,2026-08-18 11:51:15,hook,通过,通过,通过,跳过(dry-run),0.1,门禁全过
AL-20260818-006,2026-08-18 11:52:54,hook,通过,通过,通过,失败,23.6,门禁全过但双推失败(网络/凭据)，见 32 台账
AL-20260818-007,2026-08-18 11:56:34,hook,通过,通过,通过,失败,23.6,门禁全过但双推失败(网络/凭据)，见 32 台账
AL-20260818-008,2026-08-18 11:57:24,hook,通过,通过,通过,失败,23.7,门禁全过但双推失败(网络/凭据)，见 32 台账
AL-20260818-009,2026-08-18 12:42:22,hook,通过,通过,通过,成功,20.2,门禁全过
AL-20260818-010,2026-08-18 14:31:27,hook,通过,通过,通过,成功,5.6,门禁全过
